date,price,source
2019-06-14,1.0000640153884888,Yahoo Finance
2019-06-15,0.9984359741210938,Yahoo Finance
2019-06-16,0.9989749789237976,Yahoo Finance
2019-06-17,0.9994069933891296,Yahoo Finance
2019-06-18,0.9980670213699341,Yahoo Finance
2019-06-19,0.9989669919013977,Yahoo Finance
2019-06-20,0.9965789914131165,Yahoo Finance
2019-06-21,0.9980760216712952,Yahoo Finance
2019-06-22,0.9958860278129578,Yahoo Finance
2019-06-23,1.0017030239105225,Yahoo Finance
2019-06-24,0.9963600039482117,Yahoo Finance
2019-06-25,0.9982100129127502,Yahoo Finance
2019-06-26,0.9993590116500854,Yahoo Finance
2019-06-27,0.9989830255508423,Yahoo Finance
2019-06-28,1.0005559921264648,Yahoo Finance
2019-06-29,0.99822998046875,Yahoo Finance
2019-06-30,0.9998859763145447,Yahoo Finance
2019-07-01,0.9975200295448303,Yahoo Finance
2019-07-02,0.9992690086364746,Yahoo Finance
2019-07-03,1.0003139972686768,Yahoo Finance
2019-07-04,0.9997869729995728,Yahoo Finance
2019-07-05,0.9958549737930298,Yahoo Finance
2019-07-06,0.9965630173683167,Yahoo Finance
2019-07-07,0.9962300062179565,Yahoo Finance
2019-07-08,0.9974210262298584,Yahoo Finance
2019-07-09,0.9983530044555664,Yahoo Finance
2019-07-10,0.9996520280838013,Yahoo Finance
2019-07-11,0.9998160004615784,Yahoo Finance
2019-07-12,0.9990479946136475,Yahoo Finance
2019-07-13,1.0035760402679443,Yahoo Finance
2019-07-14,0.994143009185791,Yahoo Finance
2019-07-15,0.9978179931640625,Yahoo Finance
2019-07-16,0.9987519979476929,Yahoo Finance
2019-07-17,0.998540997505188,Yahoo Finance
2019-07-18,0.9940090179443359,Yahoo Finance
2019-07-19,0.9992629885673523,Yahoo Finance
2019-07-20,1.000520944595337,Yahoo Finance
2019-07-21,0.9998670220375061,Yahoo Finance
2019-07-22,1.0019680261611938,Yahoo Finance
2019-07-23,0.999871015548706,Yahoo Finance
2019-07-24,1.0019210577011108,Yahoo Finance
2019-07-25,1.002959966659546,Yahoo Finance
2019-07-26,1.0035370588302612,Yahoo Finance
2019-07-27,1.0002609491348267,Yahoo Finance
2019-07-28,1.0039550065994263,Yahoo Finance
2019-07-29,1.002912998199463,Yahoo Finance
2019-07-30,1.0011539459228516,Yahoo Finance
2019-07-31,1.0052950382232666,Yahoo Finance
2019-08-01,1.0026190280914307,Yahoo Finance
2019-08-02,1.0027190446853638,Yahoo Finance
2019-08-03,1.0059130191802979,Yahoo Finance
2019-08-04,1.002694010734558,Yahoo Finance
2019-08-05,1.0047119855880737,Yahoo Finance
2019-08-06,1.0107940435409546,Yahoo Finance
2019-08-07,1.0000289678573608,Yahoo Finance
2019-08-08,0.9942039847373962,Yahoo Finance
2019-08-09,0.9993320107460022,Yahoo Finance
2019-08-10,0.9972190260887146,Yahoo Finance
2019-08-11,0.992106020450592,Yahoo Finance
2019-08-12,1.0002909898757935,Yahoo Finance
2019-08-13,0.9903630018234253,Yahoo Finance
2019-08-14,1.0028729438781738,Yahoo Finance
2019-08-15,1.0031110048294067,Yahoo Finance
2019-08-16,1.0014530420303345,Yahoo Finance
2019-08-17,0.9960100054740906,Yahoo Finance
2019-08-18,1.0154969692230225,Yahoo Finance
2019-08-19,1.0044690370559692,Yahoo Finance
2019-08-20,1.0003520250320435,Yahoo Finance
2019-08-21,1.0086469650268555,Yahoo Finance
2019-08-22,1.0010520219802856,Yahoo Finance
2019-08-23,1.00062096118927,Yahoo Finance
2019-08-24,1.0019090175628662,Yahoo Finance
2019-08-25,0.9884340167045593,Yahoo Finance
2019-08-26,0.9972429871559143,Yahoo Finance
2019-08-27,1.0000170469284058,Yahoo Finance
2019-08-28,1.0005860328674316,Yahoo Finance
2019-08-29,0.9991059899330139,Yahoo Finance
2019-08-30,0.9973260164260864,Yahoo Finance
2019-08-31,0.9990209937095642,Yahoo Finance
2019-09-01,1.0081449747085571,Yahoo Finance
2019-09-02,0.9972280263900757,Yahoo Finance
2019-09-03,0.9968839883804321,Yahoo Finance
2019-09-04,0.9932550191879272,Yahoo Finance
2019-09-05,1.0173020362854004,Yahoo Finance
2019-09-06,1.0007309913635254,Yahoo Finance
2019-09-07,0.9997559785842896,Yahoo Finance
2019-09-08,1.0007669925689697,Yahoo Finance
2019-09-09,0.9950159788131714,Yahoo Finance
2019-09-10,0.9967610239982605,Yahoo Finance
2019-09-11,1.0035799741744995,Yahoo Finance
2019-09-12,1.0256919860839844,Yahoo Finance
2019-09-13,1.0016789436340332,Yahoo Finance
2019-09-14,1.0076580047607422,Yahoo Finance
2019-09-15,1.0027799606323242,Yahoo Finance
2019-09-16,1.0028719902038574,Yahoo Finance
2019-09-17,1.014449954032898,Yahoo Finance
2019-09-18,0.9983819723129272,Yahoo Finance
2019-09-19,0.9999790191650391,Yahoo Finance
2019-09-20,0.9983410239219666,Yahoo Finance
2019-09-21,0.9873520135879517,Yahoo Finance
2019-09-22,1.0031180381774902,Yahoo Finance
2019-09-23,1.0046379566192627,Yahoo Finance
2019-09-24,1.0018049478530884,Yahoo Finance
2019-09-25,1.0084680318832397,Yahoo Finance
2019-09-26,1.0035450458526611,Yahoo Finance
2019-09-27,1.009732961654663,Yahoo Finance
2019-09-28,1.0160950422286987,Yahoo Finance
2019-09-29,0.9978640079498291,Yahoo Finance
2019-09-30,1.0035899877548218,Yahoo Finance
2019-10-01,1.0043959617614746,Yahoo Finance
2019-10-02,1.0064849853515625,Yahoo Finance
2019-10-03,0.9864720106124878,Yahoo Finance
2019-10-04,0.9801260232925415,Yahoo Finance
2019-10-05,0.9783220291137695,Yahoo Finance
2019-10-06,1.01078200340271,Yahoo Finance
2019-10-07,0.9987649917602539,Yahoo Finance
2019-10-08,1.003620982170105,Yahoo Finance
2019-10-09,0.9988589882850647,Yahoo Finance
2019-10-10,0.9967510104179382,Yahoo Finance
2019-10-11,0.9967960119247437,Yahoo Finance
2019-10-12,0.9897140264511108,Yahoo Finance
2019-10-13,0.9997209906578064,Yahoo Finance
2019-10-14,1.0015690326690674,Yahoo Finance
2019-10-15,1.0027559995651245,Yahoo Finance
2019-10-16,1.0008989572525024,Yahoo Finance
2019-10-17,0.9972569942474365,Yahoo Finance
2019-10-18,1.0074429512023926,Yahoo Finance
2019-10-19,1.001567006111145,Yahoo Finance
2019-10-20,0.9980790019035339,Yahoo Finance
2019-10-21,0.9947749972343445,Yahoo Finance
2019-10-22,0.9962970018386841,Yahoo Finance
2019-10-23,0.9989529848098755,Yahoo Finance
2019-10-24,1.0029040575027466,Yahoo Finance
2019-10-25,1.0074690580368042,Yahoo Finance
2019-10-26,0.9991850256919861,Yahoo Finance
2019-10-27,0.9992480278015137,Yahoo Finance
2019-10-28,0.9995949864387512,Yahoo Finance
2019-10-29,0.998320996761322,Yahoo Finance
2019-10-30,1.0022059679031372,Yahoo Finance
2019-10-31,1.0051120519638062,Yahoo Finance
2019-11-01,0.998852014541626,Yahoo Finance
2019-11-02,1.0012520551681519,Yahoo Finance
2019-11-03,1.0029070377349854,Yahoo Finance
2019-11-04,1.0015289783477783,Yahoo Finance
2019-11-05,1.0008180141448975,Yahoo Finance
2019-11-06,1.000864028930664,Yahoo Finance
2019-11-07,1.0054609775543213,Yahoo Finance
2019-11-08,1.0015209913253784,Yahoo Finance
